Category,Quantity,Price,Item Name (Must be unique),Options - separated by ;,Description:,Info Link:,Shade Garden,Original Name,Image:,Makes a flat
xxxflower,24 Plants (half flat),8,AGERATUM - Blue,,"This ever-popular annual bears vibrant flower clusters that attract butterflies. 6"" High, Mix with Zinnia and Dahlia",http://bloomiq.com/ageratum,,,ageratum.jpg,2
flower,24 Plants (half flat),8,ALYSSUM,Purple;White,"Low-growing carpet teems with the tiniest of flowers! A versatile annual that is equally effective spilling over the rims of containers, filling in cracks between flagstones or blanketing garden's edge. 6"" High",http://bloomiq.com/alyssum-5,,,alyssum.jpg,2
flower,24 Plants (half flat),8,ASTERS - Mixed,,"Daisy-like perennials with starry-shaped flower heads. They bring delightful color to the garden in late summer and autumn when many of your other summer blooms may be fading. Asters also attract butterflies to your garden! 18"" High, Mix with Dianthus.",http://bloomiq.com/aster-9,,,aster.jpg,2
flower,24 Plants (half flat),8,BEGONIAS,Bronze Leaf White; Bronze Leaf Mixed; Green Leaf Rose/Pink; Green Leaf Mixed,"A popular choice with abundant, large flowers. Blooms early and continuously. Great for Shade. 12"" High. Mix with Zinnia, Celosia, and Dusty Miller ",http://bloomiq.com/begonia-0,x,,Begonias.jpg,2
flower,24 Plants (half flat),8,CELOSIA - Feather Mix,,"Large flowers on easy-to-grow plants. Wonderful contrast between bold foliage and feathery or crested flowers. Well-suited for garden's edge or in combination plantings with sweet potato vine, spikes and trailing geranium. Unique addition to fresh or dried floral arrangements. 10-24"" High",http://bloomiq.com/celosia,,,Celosia.jpg,2
Foliage Plant,24 Plants (half flat),8,COLEUS - Mixed,,"Stunning colors and variegation patterns highlight the shaded garden. Combine these rich colors with complementary or contrasting flowers or foliages for a remarkable effect. Some varieties tolerate full sun when given ample moisture. 10-16"" High. Mix with Impatiens",http://bloomiq.com/coleus-0,x,,Coleus.jpg,2
flower,24 Plants (half flat),8,COSMOS - Mixed,,"Large, delicate flowers and lacy, fernlike foliage make a great addition to the middle of the flower bed or cutting garden. Eye-catching along walls or fences. 12""-48"" High.  Mix with Zinnia and Dalhia",http://bloomiq.com/cosmos-4,,,cosmos.jpg,2
flower,24 Plants (half flat),8,DAHLIA - Mixed,,"Vibrant flowers attract butterflies and hummingbirds. Lovely plants create a stunning display at garden's edge or in containers and window boxes. Excellent cut flowers. 10-18"" High. Mix with Snapdragon, Petunia, Begonia (pinch back for fuller appearance)",http://bloomiq.com/dahlia-0,,,dahlia.jpg,2
flower,24 Plants (half flat),8,DIANTHUS - Mixed,,"These low-growing, dwarf plants make a splash in the landscape, with abundant flowers in a wide range of colors. Very effective when planted in large groupings, or used as accent in containers or window boxes. 10"" High. Mix with Aster and Dusty Miller",http://bloomiq.com/dianthus-2,,,dianthus.jpg,2
Foliage Plant,24 Plants (half flat),8,DUSTY MILLER,,"Wonderful for providing color contrast to the landscape. Intricate, silvery gray leaves are finely textured. Striking planted with red flowers, in large groups or added to combination pots. Mix with Ipomea Black for high contrast.",http://bloomiq.com/dusty-miller-2,,,Dusty Miller.jpg,2
flower,24 Plants (half flat),8,GAZANIA - Mixed,,"Cheerful flowers accent low-growing, carpet-forming foliage. A colorful addition to combination pots mixed with sweet potato vine, geranium and asparagus fern, or allow to fill in between flagstones or stone walls. Remove faded flowers to promote rebloom. 8-12"" High",http://bloomiq.com/gazania,,,Gazania.jpg,2
flower,24 Plants (half flat),8,IMPATIENS,Blue Pearl; Lilac; Lipstick; Pink; Red; Salmon; Violet; White; Mixed,"Large, abundant flowers contrast beautifully with the rich, compact foliage. Highlights the shaded garden and is especially lovely in mixed containers, hanging baskets, at garden's edge, or anywhere a splash of color is desired. 8-10"" High.  Mix with Coleus.",http://bloomiq.com/impatiens-48,x,,impatiens.jpg,2
flower,24 Plants (half flat),8,LOBELIA - Blue,,"Low-growing growth bears vibrant dainty flowers in abundance. Invites butterflies and provides season-long color. Allow to gently cascade beyond the garden's edge, down a stone wall or over the rim of a container. 8"" High. Geranium, coleus, zinnia and spikes are all lovely complements.",http://bloomiq.com/lobelia-6,part shade,,lobelia.jpg,2
flower,24 Plants (half flat),8,MARIGOLDS,Bonanza Bee (bi-color); Bonanza Mix,"Vibrant flowers bloom above fragrant, highly divided foliage. Very attractive in combination with blue-spiked flowers. Use in Vegetable Garden to repel pests. 12"" High. Mix with Dusty Miller, Snapdragon, Bacopa",http://bloomiq.com/marigold-0,,,marigold.jpg,2
